Date,r_k4,r_k2,rf,d_t,excess_k4,excess_k2
2017-08-31,-0.050765065644986104,-0.036490879327403955,0.004833333333333333,-0.01427418631758215,-0.05559839897831944,-0.04132421266073729
2017-09-30,0.007288448507262717,0.012561552983907051,0.004833333333333333,-0.005273104476644334,0.0024551151739293847,0.007728219650573719
2017-10-31,-0.020522288094993926,-0.03062545595517245,0.004833333333333333,0.010103167860178525,-0.025355621428327257,-0.035458789288505786
2017-11-30,0.1757804086166067,0.17578040861660776,0.004833333333333333,-1.0547118733938987e-15,0.17094707528327338,0.17094707528327444
2017-12-31,-0.011363944435037793,0.011944419465317015,0.004833333333333333,-0.02330836390035481,-0.016197277768371127,0.007111086131983683
2018-01-31,0.2679756373336222,0.22579811498368324,0.0038166666666666666,0.042177522349938934,0.2641589706669555,0.22198144831701658
2018-02-28,0.13448731619366033,0.15783889582963098,0.0038166666666666666,-0.02335157963597065,0.13067064952699367,0.15402222916296432
2018-03-31,0.04164406155952893,0.042990103531927525,0.0038166666666666666,-0.0013460419723985914,0.037827394892862264,0.039173436865260855
2018-04-30,-0.13805867721065507,-0.1378280792139873,0.0038166666666666666,-0.00023059799666777514,-0.14187534387732173,-0.14164474588065395
2018-05-31,-0.11464032052453073,-0.1327815833448416,0.0038166666666666666,0.01814126282031088,-0.11845698719119739,-0.13659825001150827
2018-06-30,-0.06371378759767941,-0.05066309380299026,0.0038166666666666666,-0.013050693794689157,-0.06753045426434608,-0.05447976046965693
2018-07-31,-0.005468135835358529,-0.007289243545594765,0.0038166666666666666,0.001821107710236236,-0.009284802502025196,-0.01110591021226143
2018-08-31,0.17230434619730636,0.0945489139273108,0.0038166666666666666,0.07775543226999557,0.1684876795306397,0.09073224726064413
2018-09-30,0.012966682243979384,0.004948000744887093,0.0038166666666666666,0.008018681499092292,0.009150015577312718,0.0011313340782204266
2018-10-31,-0.12646162104940356,-0.1264616210494036,0.0038166666666666666,2.7755575615628914e-17,-0.13027828771607022,-0.13027828771607025
2018-11-30,-0.004620260792475281,0.010652310789330556,0.0038166666666666666,-0.015272571581805837,-0.008436927459141947,0.0068356441226638896
2018-12-31,-0.05143783129235347,-0.05143783129235362,0.0038166666666666666,1.457167719820518e-16,-0.05525449795902014,-0.055254497959020286
2019-01-31,-0.0009350095464397248,0.03310466473126216,0.0038166666666666666,-0.03403967427770189,-0.004751676213106392,0.029287998064595495
2019-02-28,0.034639989999909394,0.028681563513255123,0.0038166666666666666,0.005958426486654272,0.030823323333242728,0.024864896846588457
2019-03-31,0.07479543748997632,0.07841071130820697,0.0038166666666666666,-0.003615273818230652,0.07097877082330965,0.0745940446415403
2019-04-30,-0.007964709809015057,-0.013688980196616917,0.0038166666666666666,0.00572427038760186,-0.011781376475681723,-0.017505646863283583
2019-05-31,-0.03386568127048983,-0.024998680078652236,0.0038166666666666666,-0.00886700119183759,-0.037682347937156496,-0.028815346745318902
2019-06-30,0.004368757899717246,0.00687724429629058,0.0038166666666666666,-0.002508486396573334,0.0005520912330505795,0.0030605776296239134
2019-07-31,0.09916105048816275,0.07591274015531564,0.0038166666666666666,0.023248310332847105,0.09534438382149608,0.07209607348864898
2019-08-31,0.014018109507097818,-0.011492630382660417,0.0038166666666666666,0.025510739889758237,0.010201442840431152,-0.015309297049327084
2019-09-30,0.05384262224150432,0.05750209246046048,0.0038166666666666666,-0.0036594702189561568,0.050025955574837654,0.05368542579379381
2019-10-31,0.044811288190334385,0.03648128897400255,0.0038166666666666666,0.008329999216331832,0.040994621523667715,0.03266462230733588
2019-11-30,-0.023995546033749017,-0.038914885031692596,0.0038166666666666666,0.01491933899794358,-0.027812212700415683,-0.042731551698359266
2019-12-31,0.045881868894981595,-2.9624177379619222e-05,0.0038166666666666666,0.04591149307236121,0.042065202228314925,-0.0038462908440462856
2020-01-31,0.08120771880380451,0.014570148008893433,0.0025,0.06663757079491107,0.0787077188038045,0.012070148008893432
2020-02-29,-0.026161985943520923,-0.0064197037511002425,0.0025,-0.01974228219242068,-0.028661985943520922,-0.008919703751100242
2020-03-31,-0.2879654209172141,-0.2877251137627914,0.0025,-0.00024030715442269202,-0.2904654209172141,-0.2902251137627914
2020-04-30,0.13451478095369107,0.18144197156857148,0.0025,-0.046927190614880404,0.13201478095369107,0.17894197156857147
2020-05-31,0.06818226769040288,0.05915655924072879,0.0025,0.00902570844967409,0.06568226769040288,0.056656559240728786
2020-06-30,-0.015210490665986542,-0.002009847965431149,0.0025,-0.013200642700555393,-0.017710490665986543,-0.004509847965431149
2020-07-31,-0.05145855139174486,-0.04350266306909,0.0025,-0.007955888322654855,-0.05395855139174486,-0.046002663069090004
2020-08-31,0.14648908872607244,0.14360330507817545,0.0025,0.002885783647896989,0.14398908872607244,0.14110330507817545
2020-09-30,0.13094341079849164,0.09684188339506766,0.0025,0.03410152740342398,0.12844341079849164,0.09434188339506766
2020-10-31,0.017359439521941827,0.0372406876935631,0.0025,-0.01988124817162127,0.014859439521941827,0.034740687693563095
2020-11-30,0.10958078310974993,0.07462035723171007,0.0025,0.034960425878039866,0.10708078310974993,0.07212035723171006
2020-12-31,0.1289250902922768,0.11805040977437402,0.0025,0.010874680517902788,0.1264250902922768,0.11555040977437402
2021-01-31,-0.032354698478033406,-0.044512958447985196,0.002108333333333333,0.01215825996995179,-0.034463031811366736,-0.046621291781318526
2021-02-28,0.13255121111502552,0.10385012756456913,0.002108333333333333,0.02870108355045639,0.1304428777816922,0.10174179423123579
2021-03-31,0.23824930913596767,0.09246893662116464,0.002108333333333333,0.14578037251480302,0.23614097580263435,0.0903606032878313
2021-04-30,0.15521819100365544,0.11684132661843541,0.002108333333333333,0.03837686438522003,0.15310985767032212,0.11473299328510207
2021-05-31,0.2011902273461364,0.27274024410279324,0.002108333333333333,-0.07155001675665684,0.19908189401280307,0.2706319107694599
2021-06-30,-0.0682636238313825,-0.0453591393202186,0.002108333333333333,-0.0229044845111639,-0.07037195716471584,-0.04746747265355193
2021-07-31,-0.09447751003427214,-0.08368048495526799,0.002108333333333333,-0.010797025079004152,-0.09658584336760548,-0.08578881828860133
2021-08-31,-0.0387082579667014,-0.032051046138498414,0.002108333333333333,-0.0066572118282029885,-0.04081659130003473,-0.034159379471831744
2021-09-30,-0.028557740784537777,-0.009688895491749453,0.002108333333333333,-0.018868845292788324,-0.03066607411787111,-0.011797228825082787
2021-10-31,0.03239933082436573,0.02054430740083244,0.002108333333333333,0.011855023423533291,0.0302909974910324,0.018435974067499108
2021-11-30,0.059137120847367816,0.047193697101244256,0.002108333333333333,0.01194342374612356,0.057028787514034486,0.045085363767910926
2021-12-31,0.03157034647584106,0.018339172240421173,0.002108333333333333,0.013231174235419887,0.029462013142507727,0.01623083890708784
2022-01-31,0.035039976085517156,0.12428217377176592,0.0033333333333333335,-0.08924219768624878,0.03170664275218382,0.1209488404384326
2022-02-28,-0.020249707635727015,-0.014352086318158692,0.0033333333333333335,-0.005897621317568323,-0.02358304096906035,-0.017685419651492024
2022-03-31,0.0636830915170086,0.09472495117999515,0.0033333333333333335,-0.031041859662986546,0.060349758183675266,0.09139161784666182
2022-04-30,-0.10749016271583274,-0.13073949035955046,0.0033333333333333335,0.023249327643717718,-0.11082349604916607,-0.13407282369288379
2022-05-31,-0.041573511783694644,-0.08414274313679447,0.0033333333333333335,0.042569231353099826,-0.04490684511702798,-0.0874760764701278
2022-06-30,-0.08278491363459531,-0.08325864958534071,0.0033333333333333335,0.000473735950745402,-0.08611824696792864,-0.08659198291867404
2022-07-31,0.06571520430993338,0.02320223038402636,0.0033333333333333335,0.04251297392590703,0.06238187097660005,0.019868897050693026
2022-08-31,0.08815263221675179,0.08248148936326812,0.0033333333333333335,0.005671142853483677,0.08481929888341846,0.07914815602993479
2022-09-30,-0.13871599198070184,-0.13127328304879204,0.0033333333333333335,-0.007442708931909792,-0.14204932531403516,-0.13460661638212537
2022-10-31,-0.0074166911159530904,-0.03518145038492331,0.0033333333333333335,0.02776475926897022,-0.010750024449286424,-0.038514783718256645
2022-11-30,0.029793532102259514,0.07030493719101574,0.0033333333333333335,-0.040511405088756225,0.02646019876892618,0.06697160385768242
2022-12-31,0.009177124316027664,-0.01525459688061933,0.0033333333333333335,0.024431721196646994,0.00584379098269433,-0.018587930213952664
2023-01-31,0.14969374967788734,0.1496937496778873,0.002916666666666667,5.551115123125783e-17,0.14677708301122067,0.1467770830112206
2023-02-28,-0.05259956104674672,-0.03827077368863966,0.002916666666666667,-0.01432878735810706,-0.055516227713413385,-0.041187440355306325
2023-03-31,0.0508172824839778,0.02975582492428788,0.002916666666666667,0.02106145755968992,0.047900615817311136,0.02683915825762121
2023-04-30,-0.021901489292480272,-0.01630078090892037,0.002916666666666667,-0.005600708383559902,-0.02481815595914694,-0.01921744757558704
2023-05-31,0.019516760853419694,0.011101939474267917,0.002916666666666667,0.008414821379151777,0.016600094186753026,0.00818527280760125
2023-06-30,0.04527925558986776,0.04995391969569504,0.002916666666666667,-0.0046746641058272795,0.0423625889232011,0.04703725302902838
2023-07-31,0.04436148316352157,0.05362454134290104,0.002916666666666667,-0.009263058179379467,0.04144481649685491,0.050707874676234374
2023-08-31,0.02989953513531931,0.07168011263331713,0.002916666666666667,-0.041780577497997816,0.02698286846865264,0.06876344596665046
2023-09-30,-0.0390447567435176,-0.06431818416029933,0.002916666666666667,0.02527342741678173,-0.041961423410184266,-0.067234850826966
2023-10-31,-0.05435390771204113,-0.10303484681018803,0.002916666666666667,0.0486809390981469,-0.05727057437870779,-0.10595151347685469
2023-11-30,0.018884108316262967,0.028829204698365953,0.002916666666666667,-0.009945096382102985,0.0159674416495963,0.025912538031699284
2023-12-31,0.02975385620432275,0.02600630424187996,0.002916666666666667,0.003747551962442787,0.02683718953765608,0.023089637575213293
2024-01-31,0.09987293620609165,0.11107416028076027,0.00255,-0.011201224074668614,0.09732293620609166,0.10852416028076027
2024-02-29,0.051505697341592764,0.09000942072733387,0.00255,-0.0385037233857411,0.04895569734159276,0.08745942072733387
2024-03-31,0.006890452066575503,-0.002021115698579817,0.00255,0.00891156776515532,0.004340452066575503,-0.004571115698579817
2024-04-30,0.0172727953983442,-0.05351978706631124,0.00255,0.07079258246465545,0.014722795398344198,-0.056069787066311244
2024-05-31,0.010147988439661292,0.00206960745493388,0.00255,0.008078380984727412,0.007597988439661292,-0.00048039254506612034
2024-06-30,-0.03900687947648382,-0.04452111212735076,0.00255,0.0055142326508669445,-0.041556879476483816,-0.04707111212735077
2024-07-31,0.047735458592895956,0.029725990026092747,0.00255,0.01800946856680321,0.04518545859289595,0.027175990026092747
2024-08-31,0.03313532502590763,0.04094432615749558,0.00255,-0.007809001131587952,0.03058532502590763,0.03839432615749558
2024-09-30,0.03665089657583984,0.03377797325107135,0.00255,0.0028729233247684963,0.03410089657583984,0.031227973251071347
2024-10-31,0.010314392329143284,-0.02090580795975787,0.00255,0.031220200288901153,0.007764392329143284,-0.02345580795975787
2024-11-30,-0.008477638919677425,-0.01745817667845295,0.00255,0.008980537758775524,-0.011027638919677426,-0.02000817667845295
2024-12-31,0.04057596579581339,0.05631281072639412,0.00255,-0.01573684493058073,0.038025965795813396,0.05376281072639412
2025-01-31,0.06368989670296198,0.020306903990981374,0.0025833333333333333,0.0433829927119806,0.06110656336962864,0.01772357065764804
2025-02-28,0.03936779111095038,0.03685560372959562,0.0025833333333333333,0.0025121873813547593,0.03678445777761705,0.03427227039626229
2025-03-31,-0.024999172649941136,-0.041849139264565315,0.0025833333333333333,0.01684996661462418,-0.02758250598327447,-0.04443247259789865
2025-04-30,-0.035207820810507884,-0.023923746676949943,0.0025833333333333333,-0.01128407413355794,-0.03779115414384122,-0.026507080010283277
2025-05-31,0.040975145730665574,0.09362578205295173,0.0025833333333333333,-0.05265063632228616,0.03839181239733224,0.09104244871961839
2025-06-30,0.06378785697423553,0.03938681656176634,0.0025833333333333333,0.02440104041246919,0.061204523640902196,0.03680348322843301
2025-07-31,0.11597191632992834,0.1659667482703148,0.0025833333333333333,-0.04999483194038645,0.11338858299659502,0.16338341493698147
2025-08-31,0.09255637498301196,0.11238599169433319,0.0025833333333333333,-0.019829616711321232,0.08997304164967862,0.10980265836099987
2025-09-30,-0.020579167774700587,-0.026044000908037983,0.0025833333333333333,0.0054648331333373955,-0.02316250110803392,-0.028627334241371316
2025-10-31,0.024278262242317564,0.022404845268381792,0.0025833333333333333,0.0018734169739357716,0.02169492890898423,0.01982151193504846
2025-11-30,-0.014663904536190648,-0.03501192202571664,0.0025833333333333333,0.020348017489525992,-0.01724723786952398,-0.03759525535904997
2025-12-31,0.05338196383930737,0.006865632430600676,0.0025833333333333333,0.046516331408706695,0.05079863050597404,0.0042822990972673424
2026-01-31,-0.015151740130904765,-0.0013004309313898322,0.0036249999999999998,-0.013851309199514933,-0.018776740130904766,-0.004925430931389832
2026-02-28,0.01309326349792724,0.018729800532074993,0.0036249999999999998,-0.005636537034147753,0.00946826349792724,0.015104800532074993
2026-03-31,-0.06352946434043362,-0.06169021072667916,0.0036249999999999998,-0.001839253613754463,-0.06715446434043362,-0.06531521072667916
2026-04-30,0.0332914789320634,0.04143636263053715,0.0036249999999999998,-0.00814488369847375,0.0296664789320634,0.03781136263053715
2026-05-31,0.01029140736104026,-0.005114886029379379,0.0036249999999999998,0.015406293390419639,0.006666407361040259,-0.00873988602937938
