Date,IC,Hit,N_stocks
2017-08-31,-0.3571428571428572,1,7
2017-09-30,-0.07142857142857144,0,7
2017-10-31,-0.10714285714285716,0,7
2017-11-30,-0.3214285714285715,0,7
2017-12-31,-0.4642857142857144,0,7
2018-01-31,0.07142857142857144,0,7
2018-02-28,0.5357142857142858,1,7
2018-03-31,0.1785714285714286,1,7
2018-04-30,0.0,1,7
2018-05-31,-0.3571428571428572,1,7
2018-06-30,-0.25,0,7
2018-07-31,-0.1785714285714286,0,7
2018-08-31,0.39285714285714296,1,7
2018-09-30,-0.8214285714285715,0,7
2018-10-31,0.3571428571428572,1,7
2018-11-30,0.7500000000000002,1,7
2018-12-31,0.5,1,7
2019-01-31,0.6071428571428572,1,7
2019-02-28,0.14285714285714288,1,7
2019-03-31,0.0,1,7
2019-04-30,-0.01801874925391118,0,7
2019-05-31,0.5357142857142858,1,7
2019-06-30,0.8928571428571429,1,7
2019-07-31,0.642857142857143,1,7
2019-08-31,0.3214285714285715,0,7
2019-09-30,0.8214285714285715,1,7
2019-10-31,0.6785714285714287,1,7
2019-11-30,0.8571428571428573,1,7
2019-12-31,-0.03571428571428572,0,7
2020-01-31,-0.642857142857143,0,7
2020-02-29,-0.9642857142857145,0,7
2020-03-31,0.2142857142857143,0,8
2020-04-30,-0.07142857142857144,0,8
2020-05-31,-0.14285714285714288,0,8
2020-06-30,-0.7380952380952381,0,8
2020-07-31,-0.09523809523809526,0,8
2020-08-31,-0.15,0,9
2020-09-30,0.4666666666666666,1,9
2020-10-31,0.406060606060606,0,10
2020-11-30,-0.2606060606060606,0,10
2020-12-31,-0.07272727272727274,0,11
2021-01-31,0.7636363636363637,1,11
2021-02-28,0.4825174825174825,1,12
2021-03-31,0.25274725274725274,1,13
2021-04-30,0.6153846153846153,1,13
2021-05-31,0.48901098901098894,1,13
2021-06-30,-0.35824175824175825,0,14
2021-07-31,0.03736263736263736,1,14
2021-08-31,-0.14285714285714282,0,15
2021-09-30,-0.3428571428571428,0,15
2021-10-31,-0.1357142857142857,0,15
2021-11-30,0.049999999999999996,0,15
2021-12-31,-0.15,1,15
2022-01-31,-0.010714285714285713,0,15
2022-02-28,0.42857142857142855,0,15
2022-03-31,0.21071428571428572,0,15
2022-04-30,-0.18214285714285713,0,15
2022-05-31,-0.20357142857142854,1,15
2022-06-30,-0.22142857142857136,0,15
2022-07-31,-0.15,1,15
2022-08-31,0.42857142857142855,1,15
2022-09-30,0.5647058823529412,1,16
2022-10-31,0.22941176470588234,1,16
2022-11-30,-0.07941176470588236,1,16
2022-12-31,0.2588235294117647,1,16
2023-01-31,-0.2088235294117647,0,16
2023-02-28,0.08529411764705883,0,16
2023-03-31,0.2823529411764706,1,16
2023-04-30,-0.5735294117647058,0,16
2023-05-31,-0.044117647058823525,1,16
2023-06-30,-0.2823529411764706,0,16
2023-07-31,0.25,1,16
2023-08-31,0.023529411764705882,0,16
2023-09-30,-0.24754901960784317,1,17
2023-10-31,-0.058823529411764705,0,17
2023-11-30,0.06127450980392158,0,17
2023-12-31,-0.09174714661984196,1,19
2024-01-31,0.2771929824561403,1,19
2024-02-29,0.11349520045172222,0,22
2024-03-31,0.2505559750323121,1,23
2024-04-30,-0.17094861660079053,1,23
2024-05-31,-0.03043478260869565,0,24
2024-06-30,-0.04960837387957715,1,24
2024-07-31,0.37478260869565216,1,24
2024-08-31,0.3208695652173913,0,24
2024-09-30,-0.008461538461538461,0,25
2024-10-31,0.16615384615384618,1,25
2024-11-30,0.13538461538461538,0,25
2024-12-31,0.3738461538461539,1,25
2025-01-31,-0.03039046026595917,1,25
2025-02-28,-0.2276923076923077,0,25
2025-03-31,-0.39584536219837957,0,25
2025-04-30,-0.026153846153846153,1,25
2025-05-31,0.25846153846153846,0,25
2025-06-30,0.16076923076923075,1,25
2025-07-31,-0.2592307692307692,0,25
2025-08-31,-0.23076923076923078,0,25
2025-09-30,0.39076923076923076,1,25
2025-10-31,0.21461538461538462,1,25
2025-11-30,0.05654933745691137,1,25
2025-12-31,-0.05692307692307692,1,25
2026-01-31,-0.4146951413506833,0,25
2026-02-28,0.44893249532119434,1,25
2026-03-31,-0.03923076923076923,0,25
2026-04-30,0.13692307692307693,1,25
2026-05-31,0.04923076923076923,0,25
