Period,Period_Start,Period_End,N_months,Portfolio,Ann_Return,Ann_Vol,Sharpe,Sortino,MDD,Calmar
Full,2017-08-31,2026-05-31,106,MKT,0.2340326241166235,0.27049253980319304,0.7288576194684321,1.1841601320304886,-0.3250979637534103,0.7198833896546314
Full,2017-08-31,2026-05-31,106,TAN,0.19198999779607218,0.2781007499805518,0.5577400360668611,0.8726623208491066,-0.5154476950679335,0.3724723180123423
Full,2017-08-31,2026-05-31,106,MV,0.1624080470991951,0.2539934590700076,0.49420946542130667,0.8013070028188153,-0.38444487138481076,0.42244820828064183
Full,2017-08-31,2026-05-31,106,BL,0.2722811748033933,0.29548077639382575,0.796664683924981,1.313226051292498,-0.3673226635641328,0.7412588489951814
Full,2017-08-31,2026-05-31,106,BL_KIO,0.3011883045195962,0.28128347533669346,0.9396436414600119,1.628144394145749,-0.30659369547394916,0.9823695299865935
Full,2017-08-31,2026-05-31,106,EW,0.26615682077001446,0.27382060545998754,0.8373173556941078,1.4530083749902805,-0.3654729095456211,0.7282532133528511
Full,2017-08-31,2026-05-31,106,RP,0.2566576158488354,0.2714360253653761,0.8096771240342936,1.3899960239597804,-0.35715679297926856,0.7186132838406725
Period_1,2017-08-31,2021-12-31,53,MKT,0.34935065664163734,0.31189922065728676,0.9958940599958899,1.6136727767542116,-0.3107029375844854,1.124388006620127
Period_1,2017-08-31,2021-12-31,53,TAN,0.3579040724716036,0.3169058676993427,1.0071507962822346,1.6456584678904762,-0.38047724209271444,0.9406714328117154
Period_1,2017-08-31,2021-12-31,53,MV,0.32384477230632736,0.3168815024418558,0.899745471532988,1.500489872292794,-0.38444487138481076,0.842369859532277
Period_1,2017-08-31,2021-12-31,53,BL,0.394422068651328,0.3414627792661928,1.041665489702894,1.769702931701736,-0.2928634280732747,1.346778159520291
Period_1,2017-08-31,2021-12-31,53,BL_KIO,0.41467840657623944,0.3514767282596783,1.0696194111229589,1.906462644630133,-0.30659369547394916,1.3525340302096136
Period_1,2017-08-31,2021-12-31,53,EW,0.43311035924264707,0.3206097130260421,1.2300883839377472,2.254071245794099,-0.303570381090952,1.4267214004415136
Period_1,2017-08-31,2021-12-31,53,RP,0.41983268064209645,0.3192553112586053,1.1937173532618122,2.1416807414400005,-0.32139451092961047,1.3062845392964575
Period_2,2022-01-31,2026-05-31,53,MKT,0.12781391886306803,0.22145824249856888,0.4189586368272994,0.6842824764573888,-0.32509796375341016,0.3931550889688626
Period_2,2022-01-31,2026-05-31,53,TAN,0.04485192674777316,0.229640963165171,0.042761757923006335,0.061412489756382325,-0.5154476950679336,0.08701547640418081
Period_2,2022-01-31,2026-05-31,53,MV,0.019204588711885684,0.1639332592661081,-0.09654835651208594,-0.1389529248459262,-0.3167370138188881,0.060632600150947215
Period_2,2022-01-31,2026-05-31,53,BL,0.16002004336699516,0.24125226244227646,0.5180799824631799,0.8090462620740932,-0.36732266356413285,0.43563890617126705
Period_2,2022-01-31,2026-05-31,53,BL_KIO,0.19610061710484117,0.18702019724721422,0.8612360804016972,1.370128750509385,-0.22216534245069192,0.8826787065060085
Period_2,2022-01-31,2026-05-31,53,EW,0.11720877402221053,0.2141680500175421,0.3837019506120613,0.5932845961060718,-0.3654729095456211,0.3207044105346463
Period_2,2022-01-31,2026-05-31,53,RP,0.11084076859380465,0.2102164134586142,0.3606221411299607,0.5598628679060578,-0.35715679297926856,0.3103420424100361
